user_id,username,email,password,gender,personalization1,personalizatoin2,personalization3,personalization4,personalization5,personalization6
1,ahatfield0,tlaraway0@xing.com,jG2~3aP$ze`y,F,Indoor,IndustrialCafe,StudyCafe,FamilyCafe,NonSmoking,Coffee
2,ltolson1,adracksford1@europa.eu,rA4}`V<OA,M,Indoor,IndustrialCafe,MeetingCafe,FamilyCafe,Smoking,Coffee
3,krawcliffe2,edeneve2@digg.com,nE3@fI!5A9I#p6I,M,Outdoor,MinimalisCafe,StudyCafe,GoodViews,Smoking,NonCoffee
4,wburdge3,atweddell3@japanpost.jp,dC9&IiMRf3k{\x?.,F,Indoor,24HoursCafe,BooksCafe,GardenCafe,Smoking,Coffee
5,cgolbourn4,gburl4@4shared.com,yW8>a{Z4,F,Indoor,MinimalisCafe,StudyCafe,FamilyCafe,NonSmoking,NonCoffee
6,afarriar5,msweating5@twitpic.com,oC7}*p\f(RkNv(,M,Indoor,24HoursCafe,BooksCafe,FamilyCafe,NonSmoking,Coffee
7,jmount6,ffetherstan6@facebook.com,eV3)iALD)Z`,F,Outdoor,RetroVintage,MeetingCafe,FamilyCafe,Smoking,NonCoffee
8,jdechastelain7,npash7@europa.eu,jJ4$8ViO*,F,Indoor,RetroVintage,StudyCafe,GardenCafe,NonSmoking,NonCoffee
9,tcominello8,dnewens8@blogtalkradio.com,"pQ5@LKu\E,fgv",F,Indoor,IndustrialCafe,MeetingCafe,FamilyCafe,NonSmoking,Coffee
10,dmcveighty9,bnormanvill9@theguardian.com,"fS5.,`N|<=i",M,Outdoor,RetroVintage,MeetingCafe,GardenCafe,NonSmoking,NonCoffee
11,evedyashkina,pdinwoodiea@furl.net,xW4&<JEO)Uj4X)&k,M,Indoor,MinimalisCafe,StudyCafe,GardenCafe,NonSmoking,Coffee
12,cbedsonb,jcammishb@ning.com,dG2%2\K6+wQw8*a,M,Outdoor,RetroVintage,MeetingCafe,GardenCafe,NonSmoking,Coffee
13,jabrahmc,rlulhamc@eventbrite.com,rX3~7%7Wd,M,Outdoor,MinimalisCafe,MeetingCafe,FamilyCafe,Smoking,Coffee
14,abowersd,llonderd@wix.com,uV0_ML8#T/0*(X,F,Indoor,IndustrialCafe,StudyCafe,GardenCafe,NonSmoking,Coffee
15,babendrothe,wadamskie@hp.com,"oN8=c\j0I&5""rYq/",M,Indoor,IndustrialCafe,BooksCafe,FamilyCafe,Smoking,Coffee
16,btimothyf,cmiddisf@oaic.gov.au,"xQ5.}""VW9x,(Y>",M,Outdoor,MinimalisCafe,BooksCafe,CountryFood,Smoking,NonCoffee
17,cplumg,ceastwayg@over-blog.com,nY1?LsNh\~,F,Outdoor,MinimalisCafe,MeetingCafe,CountryFood,Smoking,Coffee
18,mmerrissonh,miacofoh@qq.com,oI8<v>K*D%,F,Outdoor,MinimalisCafe,StudyCafe,CountryFood,NonSmoking,Coffee
19,iscullioni,hbowsteadi@zimbio.com,"tH1""xLR4`qAqn",F,Indoor,RetroVintage,BooksCafe,FamilyCafe,NonSmoking,NonCoffee
20,vtrytsmanj,mglabachj@ox.ac.uk,gC1/3J.(U2rQZM,F,Indoor,24HoursCafe,StudyCafe,GardenCafe,Smoking,NonCoffee
21,lgarnsworthk,mbrettellk@imgur.com,"oD7<""GAIH",M,Indoor,RetroVintage,StudyCafe,GoodViews,NonSmoking,Coffee
22,jnanninil,sgilel@cocolog-nifty.com,fY1+Qmm7_XEf!=,F,Outdoor,RetroVintage,MeetingCafe,CountryFood,NonSmoking,NonCoffee
23,efirebracem,astennerm@macromedia.com,"kG7""m6PK",F,Outdoor,MinimalisCafe,BooksCafe,CountryFood,Smoking,NonCoffee
24,wakessn,ckildahln@yellowbook.com,fV1`P+Tx?,F,Indoor,IndustrialCafe,StudyCafe,GardenCafe,Smoking,NonCoffee
25,sbroseniuso,mwhiterodo@163.com,oI0|jGmkkwDLp,M,Outdoor,IndustrialCafe,StudyCafe,CountryFood,Smoking,NonCoffee
26,gillesp,spattenp@zimbio.com,tU5*f$*Cr,M,Indoor,IndustrialCafe,BooksCafe,FamilyCafe,Smoking,Coffee
27,aravelusq,shousinq@sun.com,bG5|L8MyQF,F,Indoor,RetroVintage,BooksCafe,GardenCafe,NonSmoking,Coffee
28,titzhakr,mboseleyr@timesonline.co.uk,xV4+\$\nBZjVh1,F,Indoor,MinimalisCafe,StudyCafe,GoodViews,Smoking,NonCoffee
29,cgirardeys,mjanews@clickbank.net,nJ1\86@=KHqa,M,Indoor,MinimalisCafe,StudyCafe,GardenCafe,NonSmoking,NonCoffee
